Price,Close,High,Low,Open,Volume,SMA_50,Upper_Band,Lower_Band
Ticker,,AAPL,AAPL,AAPL,AAPL,,,
Date,,AAPL,AAPL,AAPL,AAPL,,,
2010-07-13,7.58590030670166,7.7244830329528265,7.424119900733204,7.722073647089555,1190924000,7.714811964035034,8.27107129474349,7.158552633326579
2010-07-14,7.613916397094727,7.706405425779599,7.501544105678375,7.5129933124753645,812047600,7.70660548210144,8.25630046319089,7.156910501011992
2010-07-15,7.575353145599365,7.741652190774135,7.450327386927972,7.4783454362865065,824866000,7.702249183654785,8.252596104864516,7.151902262445053
2010-07-16,7.528659343719482,7.681401524751118,7.483770758765887,7.627474726712098,1039858400,7.698579711914062,8.251100002838598,7.146059420989527
2010-07-19,7.3985114097595215,7.528056715860409,7.218354524328284,7.528056715860409,1024478000,7.698175992965698,8.251559827324376,7.14479215860702
2010-07-20,7.588611602783203,7.6190398544375615,7.230707176499205,7.3177732937805064,1074950800,7.707834644317627,8.235258082453024,7.18041120618223
2010-07-21,7.659409999847412,7.988092085331255,7.652180232849729,7.986284442464471,1185671200,7.7079852676391605,8.235347779134232,7.18062275614409
2010-07-22,7.803411483764648,7.8329354969713645,7.691640970879049,7.763041619166843,645318800,7.709491472244263,8.237518257605217,7.181464686883309
2010-07-23,7.831130027770996,7.844386072037911,7.720866254776675,7.745269024942509,533388800,7.708196029663086,8.23467168877111,7.1817203705550625
2010-07-26,7.811246871948242,7.835950513948366,7.763948101875386,7.832937776574051,420551600,7.708750381469726,8.235608035827752,7.181892727111699
2010-07-27,7.955857276916504,7.977548187619143,7.841978185671309,7.8591503912811636,584771600,7.714932413101196,8.24605753409696,7.183807292105431
2010-07-28,7.861859321594238,8.013397197242544,7.840470092748152,7.943503298468449,519985200,7.718993406295777,8.251470357857377,7.1865164547341776
2010-07-29,7.775998115539551,7.912773172145803,7.715444106511938,7.85432767700996,643806800,7.72245792388916,8.254101920596737,7.190813927181584
2010-07-30,7.750088214874268,7.8238982570378015,7.679290105112481,7.709116602368669,448210000,7.727826490402221,8.254947594853984,7.200705385950458
2010-08-02,7.888676166534424,7.910969629812635,7.821494100576477,7.846197754962565,428055600,7.742341575622558,8.245390655317728,7.239292495927388
2010-08-03,7.891082286834717,7.931150486628537,7.815464591008432,7.863365907861952,417653600,7.754157276153564,8.242361415174773,7.265953137132354
2010-08-04,7.922717094421387,7.961881078037337,7.842279003963213,7.918499261377029,420375200,7.763930435180664,8.245499220382444,7.282361649978884
2010-08-05,7.8841552734375,7.92874299209529,7.849509188107143,7.8850586926175215,289097200,7.77386025428772,8.244103510292765,7.303616998282674
2010-08-06,7.835651397705078,7.8778289259243905,7.7615388461642825,7.8263115075178495,444897600,7.783488750457764,8.238117296153801,7.328860204761727
2010-08-09,7.885656833648682,7.89770777911105,7.819980789816757,7.877522043227089,303128000,7.788549928665161,8.241954883728832,7.335144973601491
2010-08-10,7.8151655197143555,7.846497998395781,7.759129391157474,7.828421568387267,451920000,7.79007435798645,8.24331107185209,7.336837644120808
2010-08-11,7.537395000457764,7.703092336460277,7.525947403022611,7.694355800399437,620054400,7.783663387298584,8.242021033108983,7.325305741488185
2010-08-12,7.585599422454834,7.625065082382251,7.414780803024611,7.431953006881487,534920400,7.7763365650177,8.235426323662377,7.3172468063730225
2010-08-13,7.504559516906738,7.5883112256000995,7.504257840851488,7.581382329963108,354869200,7.767889041900634,8.231192739170112,7.304585344631157
2010-08-16,7.460571765899658,7.531972429986875,7.429841846825042,7.458764123601151,318430000,7.762875947952271,8.234039776177307,7.291712119727236
2010-08-17,7.591020584106445,7.6711577849454144,7.507568970102224,7.534081057547379,422640400,7.763496541976929,8.23365029313711,7.293342790816748
2010-08-18,7.62415885925293,7.6723618487146,7.579270282858602,7.602769632399896,339696000,7.765749959945679,8.232037819220606,7.299462100670751
2010-08-19,7.528056621551514,7.636512762652717,7.491904574517779,7.617231241851085,426706000,7.769774923324585,8.223913890112808,7.315635956536362
2010-08-20,7.520824432373047,7.6497663571015595,7.501542915721814,7.513292992165735,384230000,7.769250679016113,8.224498288709345,7.314003069322881
2010-08-23,7.405137538909912,7.591923203902575,7.388568692704563,7.585596858662778,414041600,7.764605112075806,8.229971865107023,7.299238359044589
2010-08-24,7.228294849395752,7.320783063283824,7.189732618751358,7.310842237497389,602565600,7.75595874786377,8.244689924912212,7.267227570815327
2010-08-25,7.317468166351318,7.350608268817302,7.146047879084316,7.171354061952927,596867600,7.745836191177368,8.249584458915228,7.242087923439508
2010-08-26,7.238840103149414,7.4036332279032395,7.238840103149414,7.394595015204937,466505200,7.729585828781128,8.245384080257436,7.213787577304821
2010-08-27,7.279210090637207,7.3090357907518095,7.096642213754993,7.283127051766216,548391200,7.711359186172485,8.225075774332499,7.1976425980124725
2010-08-30,7.305719375610352,7.403631309970985,7.250888370580757,7.253298560009271,383289200,7.692337141036988,8.19390655099138,7.190767731082594
2010-08-31,7.323795318603516,7.367780468335709,7.240947073575168,7.286136513473963,420786800,7.676026468276977,8.171267076357697,7.180785860196258
2010-09-01,7.5416131019592285,7.575655828449493,7.419600050843788,7.455450419804541,697037600,7.661854858398438,8.12983639213226,7.193873324664614
2010-09-02,7.597047805786133,7.597047805786133,7.488591643216689,7.56963229020424,415427600,7.650527267456055,8.095823916202491,7.205230618709618
2010-09-03,7.7958831787109375,7.7961840502471285,7.667242094194335,7.685016844440692,520788800,7.64436336517334,8.072225794398989,7.216500935947691
2010-09-07,7.766963005065918,7.818780493414914,7.719965093390504,7.7317143701919875,342557600,7.639006862640381,8.053413370360978,7.224600354919782
